jobpostingID,title,avg_salary,skill,city,state,companyName,size,revenue,industry,sector
10,"HCM Data Analyst",74500,communication,Mobile,AL,"Austal USA","1001 to 5000 Employees","$1 to $2 billion (USD)","Industrial Manufacturing",Manufacturing
10,"HCM Data Analyst",74500,excel,Mobile,AL,"Austal USA","1001 to 5000 Employees","$1 to $2 billion (USD)","Industrial Manufacturing",Manufacturing
10,"HCM Data Analyst",74500,powerpoint,Mobile,AL,"Austal USA","1001 to 5000 Employees","$1 to $2 billion (USD)","Industrial Manufacturing",Manufacturing
10,"HCM Data Analyst",74500,problem-solving,Mobile,AL,"Austal USA","1001 to 5000 Employees","$1 to $2 billion (USD)","Industrial Manufacturing",Manufacturing
11,"Operations Data Analyst",54000,excel,Birmingham,AL,"McLeod Software","201 to 500 Employees","$10 to $25 million (USD)","Transportation Management","Transportation & Logistics"
11,"Operations Data Analyst",54000,"power bi",Birmingham,AL,"McLeod Software","201 to 500 Employees","$10 to $25 million (USD)","Transportation Management","Transportation & Logistics"
11,"Operations Data Analyst",54000,sql,Birmingham,AL,"McLeod Software","201 to 500 Employees","$10 to $25 million (USD)","Transportation Management","Transportation & Logistics"
12,"Data Analyst",69500,excel,Huntsville,AL,CompQsoft,"51 to 200 Employees","$10 to $25 million (USD)","IT Services","Information Technology"
12,"Data Analyst",69500,oracle,Huntsville,AL,CompQsoft,"51 to 200 Employees","$10 to $25 million (USD)","IT Services","Information Technology"
12,"Data Analyst",69500,sql,Huntsville,AL,CompQsoft,"51 to 200 Employees","$10 to $25 million (USD)","IT Services","Information Technology"
12,"Data Analyst",69500,tableau,Huntsville,AL,CompQsoft,"51 to 200 Employees","$10 to $25 million (USD)","IT Services","Information Technology"
13,"Data Analyst",-1,Unknown,Unknown,AL,HyreU,Unknown,"Less than $1 million (USD)",Unknown,Unknown
14,"Business/Data Analyst",61000,excel,Huntsville,AL,Intrepid,"51 to 200 Employees","$50 to $100 million (USD)","Aerospace & Defense","Aerospace & Defense"
14,"Business/Data Analyst",61000,powerpoint,Huntsville,AL,Intrepid,"51 to 200 Employees","$50 to $100 million (USD)","Aerospace & Defense","Aerospace & Defense"
14,"Business/Data Analyst",61000,sql,Huntsville,AL,Intrepid,"51 to 200 Employees","$50 to $100 million (USD)","Aerospace & Defense","Aerospace & Defense"
15,"Data Strategy Analyst",52500,Unknown,Birmingham,AL,BBVA,"10000+ Employees","$2 to $5 billion (USD)","Banks & Credit Unions",Finance
16,"Data Analyst - Clearance Required",46500,azure,Huntsville,AL,LMI,"1001 to 5000 Employees","$100 to $500 million (USD)",Consulting,"Business Services"
16,"Data Analyst - Clearance Required",46500,communication,Huntsville,AL,LMI,"1001 to 5000 Employees","$100 to $500 million (USD)",Consulting,"Business Services"
16,"Data Analyst - Clearance Required",46500,excel,Huntsville,AL,LMI,"1001 to 5000 Employees","$100 to $500 million (USD)",Consulting,"Business Services"
17,"Intermediate Data Analyst",-1,communication,Huntsville,AL,"LSINC Corporation","51 to 200 Employees","$10 to $25 million (USD)","Architectural & Engineering Services","Business Services"
17,"Intermediate Data Analyst",-1,excel,Huntsville,AL,"LSINC Corporation","51 to 200 Employees","$10 to $25 million (USD)","Architectural & Engineering Services","Business Services"
18,"DATA ANALYST",42000,aws,Montgomery,AL,"Guardian Credit Union","51 to 200 Employees","$100 to $500 million (USD)","Banks & Credit Unions",Finance
18,"DATA ANALYST",42000,sql,Montgomery,AL,"Guardian Credit Union","51 to 200 Employees","$100 to $500 million (USD)","Banks & Credit Unions",Finance
19,"Data Analyst",-1,communication,Plano,AL,RiverPoint,"1 to 50 Employees",Unknown,"Advertising & Marketing","Business Services"
19,"Data Analyst",-1,excel,Plano,AL,RiverPoint,"1 to 50 Employees",Unknown,"Advertising & Marketing","Business Services"
19,"Data Analyst",-1,"power bi",Plano,AL,RiverPoint,"1 to 50 Employees",Unknown,"Advertising & Marketing","Business Services"
20,"Data Quality Analyst",54500,agile,Montgomery,AL,"22nd Century Technologies","1001 to 5000 Employees","$25 to $50 million (USD)","IT Services","Information Technology"
20,"Data Quality Analyst",54500,communication,Montgomery,AL,"22nd Century Technologies","1001 to 5000 Employees","$25 to $50 million (USD)","IT Services","Information Technology"
20,"Data Quality Analyst",54500,excel,Montgomery,AL,"22nd Century Technologies","1001 to 5000 Employees","$25 to $50 million (USD)","IT Services","Information Technology"
20,"Data Quality Analyst",54500,powerpoint,Montgomery,AL,"22nd Century Technologies","1001 to 5000 Employees","$25 to $50 million (USD)","IT Services","Information Technology"
20,"Data Quality Analyst",54500,problem-solving,Montgomery,AL,"22nd Century Technologies","1001 to 5000 Employees","$25 to $50 million (USD)","IT Services","Information Technology"
20,"Data Quality Analyst",54500,sas,Montgomery,AL,"22nd Century Technologies","1001 to 5000 Employees","$25 to $50 million (USD)","IT Services","Information Technology"
20,"Data Quality Analyst",54500,sql,Montgomery,AL,"22nd Century Technologies","1001 to 5000 Employees","$25 to $50 million (USD)","IT Services","Information Technology"
20,"Data Quality Analyst",54500,tableau,Montgomery,AL,"22nd Century Technologies","1001 to 5000 Employees","$25 to $50 million (USD)","IT Services","Information Technology"
21,"Data Management Analyst",45500,aws,Huntsville,AL,"S3, Inc","201 to 500 Employees",Unknown,"Architectural & Engineering Services","Business Services"
22,"Data Management Analyst",41500,excel,Huntsville,AL,"Northrop Grumman","10000+ Employees","$10+ billion (USD)","Aerospace & Defense","Aerospace & Defense"
22,"Data Management Analyst",41500,powerpoint,Huntsville,AL,"Northrop Grumman","10000+ Employees","$10+ billion (USD)","Aerospace & Defense","Aerospace & Defense"
23,"Product Information Management (PIM) Data Analyst",53500,communication,Irondale,AL,"Motion Industries","5001 to 10000 Employees","$2 to $5 billion (USD)",Wholesale,"Business Services"
23,"Product Information Management (PIM) Data Analyst",53500,excel,Irondale,AL,"Motion Industries","5001 to 10000 Employees","$2 to $5 billion (USD)",Wholesale,"Business Services"
23,"Product Information Management (PIM) Data Analyst",53500,powerpoint,Irondale,AL,"Motion Industries","5001 to 10000 Employees","$2 to $5 billion (USD)",Wholesale,"Business Services"
23,"Product Information Management (PIM) Data Analyst",53500,problem-solving,Irondale,AL,"Motion Industries","5001 to 10000 Employees","$2 to $5 billion (USD)",Wholesale,"Business Services"
23,"Product Information Management (PIM) Data Analyst",53500,tableau,Irondale,AL,"Motion Industries","5001 to 10000 Employees","$2 to $5 billion (USD)",Wholesale,"Business Services"
24,"LSI Grow, Entry Level SAP Data Migration Analyst (US Citizen or Permanent Resident required)",-1,communication,Unknown,AL,"LSI Consulting","51 to 200 Employees","$1 to $5 million (USD)",Consulting,"Business Services"
24,"LSI Grow, Entry Level SAP Data Migration Analyst (US Citizen or Permanent Resident required)",-1,excel,Unknown,AL,"LSI Consulting","51 to 200 Employees","$1 to $5 million (USD)",Consulting,"Business Services"
24,"LSI Grow, Entry Level SAP Data Migration Analyst (US Citizen or Permanent Resident required)",-1,sap,Unknown,AL,"LSI Consulting","51 to 200 Employees","$1 to $5 million (USD)",Consulting,"Business Services"
24,"LSI Grow, Entry Level SAP Data Migration Analyst (US Citizen or Permanent Resident required)",-1,sql,Unknown,AL,"LSI Consulting","51 to 200 Employees","$1 to $5 million (USD)",Consulting,"Business Services"
25,"Configuration and Data Management Analyst",44000,Unknown,Huntsville,AL,COLSA,"1001 to 5000 Employees","$100 to $500 million (USD)","Research & Development","Business Services"
26,"Data Analyst / Data Engineer",65500,java,Huntsville,AL,COLSA,"1001 to 5000 Employees","$100 to $500 million (USD)","Research & Development","Business Services"
26,"Data Analyst / Data Engineer",65500,python,Huntsville,AL,COLSA,"1001 to 5000 Employees","$100 to $500 million (USD)","Research & Development","Business Services"
26,"Data Analyst / Data Engineer",65500,sql,Huntsville,AL,COLSA,"1001 to 5000 Employees","$100 to $500 million (USD)","Research & Development","Business Services"
27,"CIN DATA ANALYST - DATA INTEGRITY",46500,Unknown,Opelika,AL,"East Alabama Medical Center","1001 to 5000 Employees","$100 to $500 million (USD)","Health Care Services & Hospitals","Health Care"
28,"Financial Data Analyst",-1,agile,Birmingham,AL,"Rezult Technology","201 to 500 Employees",Unknown,"Staffing & Outsourcing","Business Services"
28,"Financial Data Analyst",-1,problem-solving,Birmingham,AL,"Rezult Technology","201 to 500 Employees",Unknown,"Staffing & Outsourcing","Business Services"
28,"Financial Data Analyst",-1,python,Birmingham,AL,"Rezult Technology","201 to 500 Employees",Unknown,"Staffing & Outsourcing","Business Services"
28,"Financial Data Analyst",-1,sql,Birmingham,AL,"Rezult Technology","201 to 500 Employees",Unknown,"Staffing & Outsourcing","Business Services"
29,"Spec IV, Info Tech (Business Analyst - Data Manager and Salesforce Power User)",48000,Unknown,Auburn,AL,"Auburn University","5001 to 10000 Employees","$500 million to $1 billion (USD)","Colleges & Universities",Education
30,"Data Analyst",-1,excel,Huntsville,AL,"WILL Technology, Inc.","51 to 200 Employees","$5 to $10 million (USD)",Unknown,Unknown
30,"Data Analyst",-1,java,Huntsville,AL,"WILL Technology, Inc.","51 to 200 Employees","$5 to $10 million (USD)",Unknown,Unknown
30,"Data Analyst",-1,sas,Huntsville,AL,"WILL Technology, Inc.","51 to 200 Employees","$5 to $10 million (USD)",Unknown,Unknown
30,"Data Analyst",-1,sql,Huntsville,AL,"WILL Technology, Inc.","51 to 200 Employees","$5 to $10 million (USD)",Unknown,Unknown
31,"Data Strategy Analyst, Sr",64500,Unknown,Birmingham,AL,BBVA,"10000+ Employees","$2 to $5 billion (USD)","Banks & Credit Unions",Finance
32,"Data Management Analyst",44500,Unknown,Huntsville,AL,"Leonardo DRS","5001 to 10000 Employees","$1 to $2 billion (USD)","Aerospace & Defense","Aerospace & Defense"
33,"Data Management Analyst",-1,Unknown,Huntsville,AL,"Daylight Solutions","51 to 200 Employees","$25 to $50 million (USD)","Aerospace & Defense","Aerospace & Defense"
34,"Senior Data Analyst",-1,aws,Scottsboro,AL,"Unclaimed Baggage Center","51 to 200 Employees","Less than $1 million (USD)",Unknown,Unknown
34,"Senior Data Analyst",-1,communication,Scottsboro,AL,"Unclaimed Baggage Center","51 to 200 Employees","Less than $1 million (USD)",Unknown,Unknown
34,"Senior Data Analyst",-1,excel,Scottsboro,AL,"Unclaimed Baggage Center","51 to 200 Employees","Less than $1 million (USD)",Unknown,Unknown
34,"Senior Data Analyst",-1,java,Scottsboro,AL,"Unclaimed Baggage Center","51 to 200 Employees","Less than $1 million (USD)",Unknown,Unknown
34,"Senior Data Analyst",-1,problem-solving,Scottsboro,AL,"Unclaimed Baggage Center","51 to 200 Employees","Less than $1 million (USD)",Unknown,Unknown
34,"Senior Data Analyst",-1,python,Scottsboro,AL,"Unclaimed Baggage Center","51 to 200 Employees","Less than $1 million (USD)",Unknown,Unknown
34,"Senior Data Analyst",-1,sas,Scottsboro,AL,"Unclaimed Baggage Center","51 to 200 Employees","Less than $1 million (USD)",Unknown,Unknown
34,"Senior Data Analyst",-1,sql,Scottsboro,AL,"Unclaimed Baggage Center","51 to 200 Employees","Less than $1 million (USD)",Unknown,Unknown
35,"Data Quality Analyst (Baldwin Co)",48000,communication,Daphne,AL,"Tetra Tech","10000+ Employees","$2 to $5 billion (USD)","Architectural & Engineering Services","Business Services"
35,"Data Quality Analyst (Baldwin Co)",48000,problem-solving,Daphne,AL,"Tetra Tech","10000+ Employees","$2 to $5 billion (USD)","Architectural & Engineering Services","Business Services"
35,"Data Quality Analyst (Baldwin Co)",48000,sas,Daphne,AL,"Tetra Tech","10000+ Employees","$2 to $5 billion (USD)","Architectural & Engineering Services","Business Services"
36,"Radar Data Analyst: BGI",-1,excel,Huntsville,AL,"deciBel Research, Inc.","51 to 200 Employees",Unknown,"Aerospace & Defense","Aerospace & Defense"
36,"Radar Data Analyst: BGI",-1,powerpoint,Huntsville,AL,"deciBel Research, Inc.","51 to 200 Employees",Unknown,"Aerospace & Defense","Aerospace & Defense"
36,"Radar Data Analyst: BGI",-1,python,Huntsville,AL,"deciBel Research, Inc.","51 to 200 Employees",Unknown,"Aerospace & Defense","Aerospace & Defense"
37,"Data Analyst-GME",46500,Unknown,Birmingham,AL,"University of Alabama at Birmingham","10000+ Employees","$1 to $2 billion (USD)","Colleges & Universities",Education
38,"Maintenance Data Analyst - Air Force Project",62000,Unknown,"Fort Rucker",AL,"M1 Support Services","51 to 200 Employees","$5 to $10 million (USD)",Unknown,Unknown
39,"Jr. Data Analyst or Technician",59000,problem-solving,Hoover,AL,DISYS,"1001 to 5000 Employees","$100 to $500 million (USD)","IT Services","Information Technology"
40,"Data Analyst - Retail",52000," r ",Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
40,"Data Analyst - Retail",52000,python,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
40,"Data Analyst - Retail",52000,sql,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
40,"Data Analyst - Retail",52000,tableau,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
41,"SAP Data Migration Analyst (US citizen or Permanent Resident required)",-1,communication,Unknown,AL,"LSI Consulting","51 to 200 Employees","$1 to $5 million (USD)",Consulting,"Business Services"
41,"SAP Data Migration Analyst (US citizen or Permanent Resident required)",-1,excel,Unknown,AL,"LSI Consulting","51 to 200 Employees","$1 to $5 million (USD)",Consulting,"Business Services"
41,"SAP Data Migration Analyst (US citizen or Permanent Resident required)",-1,sap,Unknown,AL,"LSI Consulting","51 to 200 Employees","$1 to $5 million (USD)",Consulting,"Business Services"
41,"SAP Data Migration Analyst (US citizen or Permanent Resident required)",-1,sql,Unknown,AL,"LSI Consulting","51 to 200 Employees","$1 to $5 million (USD)",Consulting,"Business Services"
42,"Data Analyst-cool company",48500,excel,Birmingham,AL,"Better Hire","1 to 50 Employees","Less than $1 million (USD)",Unknown,Unknown
42,"Data Analyst-cool company",48500,sql,Birmingham,AL,"Better Hire","1 to 50 Employees","Less than $1 million (USD)",Unknown,Unknown
43,"Data Analyst-GME (Day",53000,Unknown,Birmingham,AL,"UAB Medicine","10000+ Employees",Unknown,"Health Care Services & Hospitals","Health Care"
44,"Senior Data Analyst Newspapers",-1,Unknown,McMullen,AL,ATJ,"1001 to 5000 Employees","$5 to $10 million (USD)",Consulting,"Business Services"
45,"Data Analyst-GME",53000,Unknown,Birmingham,AL,"UAB Medicine","10000+ Employees",Unknown,"Health Care Services & Hospitals","Health Care"
46,"Production Systems Analyst / Data Analysis /",50500,sap,Troy,AL,"LOCKHEED MARTIN CORPORATION","10000+ Employees","$10+ billion (USD)","Aerospace & Defense","Aerospace & Defense"
47,"Production Systems Analyst / Data Analysis / Troy, AL",50500,sap,Troy,AL,"Lockheed Martin","10000+ Employees","$10+ billion (USD)","Aerospace & Defense","Aerospace & Defense"
48,"Senior Data Analyst",55500,communication,Huntsville,AL,Sanmina,"10000+ Employees","$5 to $10 billion (USD)","Electrical & Electronic Manufacturing",Manufacturing
48,"Senior Data Analyst",55500,excel,Huntsville,AL,Sanmina,"10000+ Employees","$5 to $10 billion (USD)","Electrical & Electronic Manufacturing",Manufacturing
48,"Senior Data Analyst",55500,oracle,Huntsville,AL,Sanmina,"10000+ Employees","$5 to $10 billion (USD)","Electrical & Electronic Manufacturing",Manufacturing
48,"Senior Data Analyst",55500,problem-solving,Huntsville,AL,Sanmina,"10000+ Employees","$5 to $10 billion (USD)","Electrical & Electronic Manufacturing",Manufacturing
49,"Data Analyst - CPG",49500," r ",Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
49,"Data Analyst - CPG",49500,python,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
49,"Data Analyst - CPG",49500,sql,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
49,"Data Analyst - CPG",49500,tableau,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
50,"Data Analyst, CPG",49500," r ",Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
50,"Data Analyst, CPG",49500,python,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
50,"Data Analyst, CPG",49500,sql,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
50,"Data Analyst, CPG",49500,tableau,Birmingham,AL,Shipt,"1001 to 5000 Employees",Unknown,"Consumer Product Rental","Consumer Services"
51,"Configuration/Data Management Analyst (SW Mission Assurance)",41500,communication,Huntsville,AL,"Intuitive Research and Technology Corporation","201 to 500 Employees","$100 to $500 million (USD)","Aerospace & Defense","Aerospace & Defense"
51,"Configuration/Data Management Analyst (SW Mission Assurance)",41500,excel,Huntsville,AL,"Intuitive Research and Technology Corporation","201 to 500 Employees","$100 to $500 million (USD)","Aerospace & Defense","Aerospace & Defense"
52,"Configuration/Data Management Analyst (SW Mission Assurance)",41500,Unknown,Huntsville,AL,"Intuitive Research and Technology Corporation","201 to 500 Employees","$100 to $500 million (USD)","Aerospace & Defense","Aerospace & Defense"
53,"Advanced Data Analyst Programmer",-1,agile,Huntsville,AL,"CALIBRE Systems, Inc.",Unknown,Unknown,Unknown,Unknown
53,"Advanced Data Analyst Programmer",-1,java,Huntsville,AL,"CALIBRE Systems, Inc.",Unknown,Unknown,Unknown,Unknown
53,"Advanced Data Analyst Programmer",-1,oracle,Huntsville,AL,"CALIBRE Systems, Inc.",Unknown,Unknown,Unknown,Unknown
54,"Cloud Computing & Data Security Engineers, Analysts & Architects Writer",-1,Unknown,"Phenix City",AL,"Tempesta Media, LLC","1 to 50 Employees",Unknown,"Advertising & Marketing","Business Services"
55,"Avionics Configuration Management/Data Management Analyst",102500,agile,Huntsville,AL,Dynetics,"1001 to 5000 Employees","$100 to $500 million (USD)","Aerospace & Defense","Aerospace & Defense"
55,"Avionics Configuration Management/Data Management Analyst",102500,oracle,Huntsville,AL,Dynetics,"1001 to 5000 Employees","$100 to $500 million (USD)","Aerospace & Defense","Aerospace & Defense"
56,"Data Verification Analyst",64000,communication,"North Little Rock",AR,"First Orion","201 to 500 Employees",Unknown,"Enterprise Software & Network Solutions","Information Technology"
56,"Data Verification Analyst",64000,excel,"North Little Rock",AR,"First Orion","201 to 500 Employees",Unknown,"Enterprise Software & Network Solutions","Information Technology"
56,"Data Verification Analyst",64000,problem-solving,"North Little Rock",AR,"First Orion","201 to 500 Employees",Unknown,"Enterprise Software & Network Solutions","Information Technology"
56,"Data Verification Analyst",64000,sas,"North Little Rock",AR,"First Orion","201 to 500 Employees",Unknown,"Enterprise Software & Network Solutions","Information Technology"
57,"Data Analyst",-1,communication,"Little Rock",AR,"Perfect Vision","51 to 200 Employees","$50 to $100 million (USD)","Health Care Products Manufacturing",Manufacturing
57,"Data Analyst",-1,excel,"Little Rock",AR,"Perfect Vision","51 to 200 Employees","$50 to $100 million (USD)","Health Care Products Manufacturing",Manufacturing
57,"Data Analyst",-1,"power bi","Little Rock",AR,"Perfect Vision","51 to 200 Employees","$50 to $100 million (USD)","Health Care Products Manufacturing",Manufacturing
57,"Data Analyst",-1,sql,"Little Rock",AR,"Perfect Vision","51 to 200 Employees","$50 to $100 million (USD)","Health Care Products Manufacturing",Manufacturing
58,"Data Analyst - Apprenticeship",-1,communication,"Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
58,"Data Analyst - Apprenticeship",-1,excel,"Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
58,"Data Analyst - Apprenticeship",-1,oracle,"Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
58,"Data Analyst - Apprenticeship",-1,"power bi","Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
58,"Data Analyst - Apprenticeship",-1,problem-solving,"Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
58,"Data Analyst - Apprenticeship",-1,sap,"Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
58,"Data Analyst - Apprenticeship",-1,sas,"Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
58,"Data Analyst - Apprenticeship",-1,sql,"Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
58,"Data Analyst - Apprenticeship",-1,tableau,"Little Rock",AR,"Arkansas Center for Data Sciences",Unknown,Unknown,Unknown,Unknown
59,"Data Analyst",55000," r ","Little Rock",AR,"General Dynamics Information Technology","10000+ Employees","$10+ billion (USD)","IT Services","Information Technology"
59,"Data Analyst",55000,sas,"Little Rock",AR,"General Dynamics Information Technology","10000+ Employees","$10+ billion (USD)","IT Services","Information Technology"
60,"Data Analyst III",75000,java,Fayetteville,AR,Walmart,Unknown,Unknown,Unknown,Unknown
60,"Data Analyst III",75000,python,Fayetteville,AR,Walmart,Unknown,Unknown,Unknown,Unknown
60,"Data Analyst III",75000,sql,Fayetteville,AR,Walmart,Unknown,Unknown,Unknown,Unknown
60,"Data Analyst III",75000,tableau,Fayetteville,AR,Walmart,Unknown,Unknown,Unknown,Unknown
61,"Data Analyst with Pyspark",49500,Unknown,Bentonville,AR,SysMind,"51 to 200 Employees","$25 to $50 million (USD)","Enterprise Software & Network Solutions","Information Technology"
62,"Intern - Data Analyst - Human Resources",-1,communication,"Fort Smith",AR,Gerdau,"10000+ Employees","$10+ billion (USD)","Metal & Mineral Manufacturing",Manufacturing
62,"Intern - Data Analyst - Human Resources",-1,excel,"Fort Smith",AR,Gerdau,"10000+ Employees","$10+ billion (USD)","Metal & Mineral Manufacturing",Manufacturing
62,"Intern - Data Analyst - Human Resources",-1,problem-solving,"Fort Smith",AR,Gerdau,"10000+ Employees","$10+ billion (USD)","Metal & Mineral Manufacturing",Manufacturing
63,"Senior Data Analyst - Technology",94500,Unknown,Rogers,AR,Walmart,Unknown,Unknown,Unknown,Unknown
64,"Data Analyst- Compliance (Temp Services Tn28 X2)",66500,aws,Bentonville,AR,Walmart,Unknown,Unknown,Unknown,Unknown
64,"Data Analyst- Compliance (Temp Services Tn28 X2)",66500,communication,Bentonville,AR,Walmart,Unknown,Unknown,Unknown,Unknown
65,"Senior Data Analyst",42500,communication,Fayetteville,AR,"UAMS Medical Center","51 to 200 Employees","$500 million to $1 billion (USD)","Health Care Services & Hospitals","Health Care"
65,"Senior Data Analyst",42500,excel,Fayetteville,AR,"UAMS Medical Center","51 to 200 Employees","$500 million to $1 billion (USD)","Health Care Services & Hospitals","Health Care"
65,"Senior Data Analyst",42500,powerpoint,Fayetteville,AR,"UAMS Medical Center","51 to 200 Employees","$500 million to $1 billion (USD)","Health Care Services & Hospitals","Health Care"
